code,name,altname,label,x,y
E05003754,Dorchester West,,E05003754,367989.159159444,90039.07261762
E05005223,Bolton-le-Sands,,E05005223,347561.561899003,468759.178954744
E05008915,West Polden,,E05008915,338484.420538142,140406.142764505
E05001061,Southey,,E05001061,434127.230818079,392237.074368121
E05001860,Kerne Bridge,,E05001860,357536.006559363,218941.601801008
E05004671,Sparsholt,,E05004671,443855.244808403,132884.503460612
E05001072,Crawcrook and Greenside,,E05001072,413767.18559208,562875.858099076
E05001873,St Martins and Hinton,,E05001873,350858.017336276,238242.227949218
E05003377,Little Eaton and Breadsall,,E05003377,438274.136245465,340903.437980368
E05003391,Burbage,,E05003391,403672.887728038,372215.860106256
E05004739,Thundridge & Standon,,E05004739,538074.877207456,219662.024185672
E05001246,Hayley Green and Cradley South,,E05001246,394862.160269705,282819.385862598
E05006904,Cannock North,,E05006904,398242.689951745,311881.323826516
E05005646,Fleet,,E05005646,536786.091560721,320150.259076584
E05006982,Silverdale and Parksite,,E05006982,381774.690735797,346550.1121274
E05005302,"Gisburn, Rimington",,E05005302,381612.807638586,450671.276250597
E05008142,Belle Vue,,E05008142,349211.118900814,311428.580424163
E05003984,Sidley,,E05003984,573761.330035949,110217.583310015
E05003185,Cleator Moor South,,E05003185,302857.087567035,513379.976156067
E05004799,St Peters,,E05004799,515109.85446984,207241.313195921
E05005725,Dereham-Central,,E05005725,599590.504794196,312280.822543652
E05003424,Dronfield South,,E05003424,435651.374162173,377584.968461902
E05003225,Penrith East,,E05003225,352273.795239795,530365.974536816
E05004425,Tewkesbury Newtown,,E05004425,391004.083083735,233378.460355077
E05007098,South Cosford,,E05007098,602283.891931883,246190.769869846
E05007899,Bretforton and Offenham,,E05007899,407875.424682761,244729.457142958
E05006259,Pannal,,E05006259,430666.158047661,452067.701438944
E05004052,Hatfield Peverel,,E05004052,579173.119988524,211443.809559917
E05004853,Hatfield Central,,E05004853,522550.266883991,209597.461610863
E05003292,Heanor West,,E05003292,443444.113017259,346522.733011751
E05003413,Temple,,E05003413,405373.178823693,372251.50956579
E05007562,Buckingham,,E05007562,521383.240531266,107195.1046828
E05004831,Moor Park & Eastbury,,E05004831,508933.3366208,193201.857153786
E05004030,Pitsea North West,,E05004030,573934.773050809,189925.488401874
E05006306,Norton East,,E05006306,480540.867974372,471148.510712624
E05003393,Chapel East,,E05003393,407962.657287134,381797.294484076
E05005717,Waddingham and Spital,,E05005717,499629.278774356,391247.566419884
E05000483,Forest Gate North,,E05000483,540136.570893639,185547.123418793
E05001055,Hillsborough,,E05001055,432684.665258652,390710.278165
E05001854,Golden Valley North,,E05001854,330988.500914642,242038.305571452
E05007963,Bishop Auckland Town,,E05007963,420557.866617232,529879.151414316
E05007162,Worlingworth,,E05007162,621805.159303168,267356.186540131
E05001979,Cabot,,E05001979,358392.510226529,172981.77576658
E05002758,The Mills,,E05002758,538576.533623548,284662.231751491
E05002053,Downend,,E05002053,365030.51262996,177247.826967193
E05008179,Prees,,E05008179,361102.111980573,335816.516801196
E05001266,Great Barr with Yew Tree,,E05001266,403539.821933111,295140.005408893
E05006212,Crakehall,,E05006212,424709.812486941,487416.798132276
E05001178,Acocks Green,,E05001178,411901.207865189,282847.548320767
E05000644,St James's,,E05000644,529843.738675308,180061.624107587
E05006546,Blackbird Leys,,E05006546,455575.09543915,203019.126004267
E05004105,"Little Baddow, Danbury and Sandon",,E05004105,576883.808025927,205430.282843689
E05001293,Meriden,,E05001293,424354.923272596,278782.597249729
